full_name,birthdate,birthday,gender,type,start_term,end_term,state,class,district,party,how,zodiac_sign,age_start,age_start,age_end,age_end,duration_days,duration_years,duration_months
Tammy  Duckworth,1968-03-12,03-12,F,rep,2013-01-03,2015-01-03,IL,,8.0,Democrat,,Pisces,44.0,44.0,46.0,46.0,730.0,2.0,0.0
Garland 'Andy'  Barr,1973-07-24,07-24,M,rep,2013-01-03,2015-01-03,KY,,6.0,Republican,,Leo,39.0,39.0,41.0,41.0,730.0,2.0,0.0
Elizabeth  Warren,1949-06-22,06-22,F,sen,2013-01-03,2019-01-03,MA,1.0,,Democrat,,Cancer,63.0,63.0,69.0,69.0,2191.0,6.0,0.0
Angus S. King Jr.,1944-03-31,03-31,M,sen,2013-01-03,2019-01-03,ME,1.0,,Independent,,Aries,68.0,68.0,74.0,74.0,2191.0,6.0,0.0
Ann  Wagner,1962-09-13,09-13,F,rep,2013-01-03,2015-01-03,MO,,2.0,Republican,,Virgo,50.0,50.0,52.0,52.0,730.0,2.0,0.0
Steve  Daines,1962-08-20,08-20,M,rep,2013-01-03,2015-01-03,MT,,0.0,Republican,,Leo,50.0,50.0,52.0,52.0,730.0,2.0,0.0
Richard  Hudson,1971-11-04,11-04,M,rep,2013-01-03,2015-01-03,NC,,8.0,Republican,,Scorpio,41.0,41.0,43.0,43.0,730.0,2.0,0.0
Kevin  Cramer,1961-01-21,01-21,M,rep,2013-01-03,2015-01-03,ND,,0.0,Republican,,Aquarius,51.0,51.0,53.0,53.0,730.0,2.0,0.0
Deb  Fischer,1951-03-01,03-01,F,sen,2013-01-03,2019-01-03,NE,1.0,,Republican,,Pisces,61.0,61.0,67.0,67.0,2191.0,6.0,0.0
Grace  Meng,1975-10-01,10-01,F,rep,2013-01-03,2015-01-03,NY,,6.0,Democrat,,Libra,37.0,37.0,39.0,39.0,730.0,2.0,0.0
Hakeem S. Jeffries,1970-08-04,08-04,M,rep,2013-01-03,2015-01-03,NY,,8.0,Democrat,,Leo,42.0,42.0,44.0,44.0,730.0,2.0,0.0
Joyce  Beatty,1950-03-12,03-12,F,rep,2013-01-03,2015-01-03,OH,,3.0,Democrat,,Pisces,62.0,62.0,64.0,64.0,730.0,2.0,0.0
David P. Joyce,1957-03-17,03-17,M,rep,2013-01-03,2015-01-03,OH,,14.0,Republican,,Pisces,55.0,55.0,57.0,57.0,730.0,2.0,0.0
Markwayne  Mullin,1977-07-26,07-26,M,rep,2013-01-03,2015-01-03,OK,,2.0,Republican,,Leo,35.0,35.0,37.0,37.0,730.0,2.0,0.0
Scott  Perry,1962-05-27,05-27,M,rep,2013-01-03,2015-01-03,PA,,4.0,Republican,,Gemini,50.0,50.0,52.0,52.0,730.0,2.0,0.0
Ted  Cruz,1970-12-22,12-22,M,sen,2013-01-03,2019-01-03,TX,1.0,,Republican,,Capricorn,42.0,42.0,48.0,48.0,2191.0,6.0,0.0
Randy K. Weber Sr.,1953-07-02,07-02,M,rep,2013-01-03,2015-01-03,TX,,14.0,Republican,,Cancer,59.0,59.0,61.0,61.0,730.0,2.0,0.0
Joaquin  Castro,1974-09-16,09-16,M,rep,2013-01-03,2015-01-03,TX,,20.0,Democrat,,Virgo,38.0,38.0,40.0,40.0,730.0,2.0,0.0
Roger  Williams,1949-09-13,09-13,M,rep,2013-01-03,2015-01-03,TX,,25.0,Republican,,Virgo,63.0,63.0,65.0,65.0,730.0,2.0,0.0
Marc A. Veasey,1971-01-03,01-03,M,rep,2013-01-03,2015-01-03,TX,,33.0,Democrat,,Capricorn,42.0,42.0,44.0,44.0,730.0,2.0,0.0
Timothy 'Tim'  Kaine,1958-02-26,02-26,M,sen,2013-01-03,2019-01-03,VA,1.0,,Democrat,,Pisces,54.0,54.0,60.0,60.0,2191.0,6.0,0.0
Mark  Pocan,1964-08-14,08-14,M,rep,2013-01-03,2015-01-03,WI,,2.0,Democrat,,Leo,48.0,48.0,50.0,50.0,730.0,2.0,0.0
Robin L. Kelly,1956-04-30,04-30,F,rep,2013-04-09,2015-01-03,IL,,2.0,Democrat,,Taurus,56.0,56.0,58.0,58.0,634.0,1.0,8.0
Jason T. Smith,1980-06-16,06-16,M,rep,2013-06-04,2015-01-03,MO,,8.0,Republican,,Gemini,32.0,32.0,34.0,34.0,578.0,1.0,7.0
Cory Anthony Booker,1969-04-27,04-27,M,sen,2013-10-31,2015-01-03,NJ,2.0,,Democrat,,Taurus,44.0,44.0,45.0,45.0,429.0,1.0,2.0
Katherine M. Clark,1963-07-17,07-17,F,rep,2013-12-12,2015-01-03,MA,,5.0,Democrat,,Cancer,50.0,50.0,51.0,51.0,387.0,1.0,0.0
Donald W. Norcross,1958-12-13,12-13,M,rep,2014-11-12,2015-01-03,NJ,,1.0,Democrat,,Sagittarius,55.0,55.0,56.0,56.0,52.0,0.0,1.0
Alma S. Adams,1946-05-27,05-27,F,rep,2014-11-12,2015-01-03,NC,,12.0,Democrat,,Gemini,68.0,68.0,68.0,68.0,52.0,0.0,1.0
Gary J. Palmer,1954-05-14,05-14,M,rep,2015-01-06,2017-01-03,AL,,6.0,Republican,,Taurus,60.0,60.0,62.0,62.0,728.0,1.0,12.0
J. French Hill,1956-12-05,12-05,M,rep,2015-01-06,2017-01-03,AR,,2.0,Republican,,Sagittarius,58.0,58.0,60.0,60.0,728.0,1.0,12.0
Bruce  Westerman,1967-11-18,11-18,M,rep,2015-01-06,2017-01-03,AR,,4.0,Republican,,Scorpio,47.0,47.0,49.0,49.0,728.0,1.0,12.0
Ruben  Gallego,1979-11-20,11-20,M,rep,2015-01-06,2017-01-03,AZ,,7.0,Democrat,,Scorpio,35.0,35.0,37.0,37.0,728.0,1.0,12.0
Mark  DeSaulnier,1952-03-31,03-31,M,rep,2015-01-06,2017-01-03,CA,,11.0,Democrat,,Aries,62.0,62.0,64.0,64.0,728.0,1.0,12.0
Pete  Aguilar,1979-06-19,06-19,M,rep,2015-01-06,2017-01-03,CA,,31.0,Democrat,,Gemini,35.0,35.0,37.0,37.0,728.0,1.0,12.0
Ted  Lieu,1969-03-29,03-29,M,rep,2015-01-06,2017-01-03,CA,,33.0,Democrat,,Aries,45.0,45.0,47.0,47.0,728.0,1.0,12.0
Norma J. Torres,1965-04-04,04-04,F,rep,2015-01-06,2017-01-03,CA,,35.0,Democrat,,Aries,49.0,49.0,51.0,51.0,728.0,1.0,12.0
Earl 'Buddy' L. Carter,1957-09-06,09-06,M,rep,2015-01-06,2017-01-03,GA,,1.0,Republican,,Virgo,57.0,57.0,59.0,59.0,728.0,1.0,12.0
Barry  Loudermilk,1963-12-22,12-22,M,rep,2015-01-06,2017-01-03,GA,,11.0,Republican,,Capricorn,51.0,51.0,53.0,53.0,728.0,1.0,12.0
Rick W. Allen,1951-11-07,11-07,M,rep,2015-01-06,2017-01-03,GA,,12.0,Republican,,Scorpio,63.0,63.0,65.0,65.0,728.0,1.0,12.0
Mike  Bost,1960-12-30,12-30,M,rep,2015-01-06,2017-01-03,IL,,12.0,Republican,,Capricorn,54.0,54.0,56.0,56.0,728.0,1.0,12.0
Seth  Moulton,1978-10-24,10-24,M,rep,2015-01-06,2017-01-03,MA,,6.0,Democrat,,Scorpio,36.0,36.0,38.0,38.0,728.0,1.0,12.0
John R. Moolenaar,1961-05-08,05-08,M,rep,2015-01-06,2017-01-03,MI,,4.0,Republican,,Taurus,53.0,53.0,55.0,55.0,728.0,1.0,12.0
Debbie  Dingell,1953-11-23,11-23,F,rep,2015-01-06,2017-01-03,MI,,12.0,Democrat,,Sagittarius,61.0,61.0,63.0,63.0,728.0,1.0,12.0
Tom  Emmer,1961-03-03,03-03,M,rep,2015-01-06,2017-01-03,MN,,6.0,Republican,,Pisces,53.0,53.0,55.0,55.0,728.0,1.0,12.0
David  Rouzer,1972-02-16,02-16,M,rep,2015-01-06,2017-01-03,NC,,7.0,Republican,,Aquarius,42.0,42.0,44.0,44.0,728.0,1.0,12.0
Bonnie  Watson Coleman,1945-02-06,02-06,F,rep,2015-01-06,2017-01-03,NJ,,12.0,Democrat,,Aquarius,69.0,69.0,71.0,71.0,728.0,1.0,12.0
Elise M. Stefanik,1984-07-02,07-02,F,rep,2015-01-06,2017-01-03,NY,,21.0,Republican,,Cancer,30.0,30.0,32.0,32.0,728.0,1.0,12.0
Brendan F. Boyle,1977-02-06,02-06,M,rep,2015-01-06,2017-01-03,PA,,13.0,Democrat,,Aquarius,37.0,37.0,39.0,39.0,728.0,1.0,12.0
Brian  Babin,1948-03-23,03-23,M,rep,2015-01-06,2017-01-03,TX,,36.0,Republican,,Aries,66.0,66.0,68.0,68.0,728.0,1.0,12.0
Donald S. Beyer Jr.,1950-06-20,06-20,M,rep,2015-01-06,2017-01-03,VA,,8.0,Democrat,,Gemini,64.0,64.0,66.0,66.0,728.0,1.0,12.0
Stacey E. Plaskett,1966-05-13,05-13,F,rep,2015-01-06,2017-01-03,VI,,0.0,Democrat,,Taurus,48.0,48.0,50.0,50.0,728.0,1.0,12.0
Dan  Newhouse,1955-07-10,07-10,M,rep,2015-01-06,2017-01-03,WA,,4.0,Republican,,Cancer,59.0,59.0,61.0,61.0,728.0,1.0,12.0
Glenn  Grothman,1955-07-03,07-03,M,rep,2015-01-06,2017-01-03,WI,,6.0,Republican,,Cancer,59.0,59.0,61.0,61.0,728.0,1.0,12.0
Aumua Amata Coleman Radewagen,1947-12-29,12-29,F,rep,2015-01-06,2017-01-03,AS,,0.0,Republican,,Capricorn,67.0,67.0,69.0,69.0,728.0,1.0,12.0
Dan  Sullivan,1964-11-13,11-13,M,sen,2015-01-06,2021-01-03,AK,2.0,,Republican,,Scorpio,50.0,50.0,56.0,56.0,2189.0,5.0,12.0
Joni  Ernst,1970-07-01,07-01,F,sen,2015-01-06,2021-01-03,IA,2.0,,Republican,,Cancer,44.0,44.0,50.0,50.0,2189.0,5.0,12.0
Thom  Tillis,1960-08-30,08-30,M,sen,2015-01-06,2021-01-03,NC,2.0,,Republican,,Virgo,54.0,54.0,60.0,60.0,2189.0,5.0,12.0
Mike  Rounds,1954-10-24,10-24,M,sen,2015-01-06,2021-01-03,SD,2.0,,Republican,,Scorpio,60.0,60.0,66.0,66.0,2189.0,5.0,12.0
Trent  Kelly,1966-03-01,03-01,M,rep,2015-06-09,2017-01-03,MS,,1.0,Republican,,Pisces,49.0,49.0,50.0,50.0,574.0,1.0,6.0
Darin  LaHood,1968-07-05,07-05,M,rep,2015-09-17,2017-01-03,IL,,18.0,Republican,,Cancer,47.0,47.0,48.0,48.0,474.0,1.0,3.0
Warren  Davidson,1970-03-01,03-01,M,rep,2016-06-09,2017-01-03,OH,,8.0,Republican,,Pisces,46.0,46.0,46.0,46.0,208.0,0.0,6.0
James  Comer,1972-08-19,08-19,M,rep,2016-11-14,2017-01-03,KY,,1.0,Republican,,Leo,44.0,44.0,44.0,44.0,50.0,0.0,1.0
Dwight  Evans,1954-05-16,05-16,M,rep,2016-11-14,2017-01-03,PA,,2.0,Democrat,,Taurus,62.0,62.0,62.0,62.0,50.0,0.0,1.0
John Neely Kennedy,1951-11-21,11-21,M,sen,2017-01-03,2023-01-03,LA,3.0,,Republican,,Scorpio,65.0,65.0,71.0,71.0,2191.0,6.0,0.0
Margaret 'Maggie' Wood Hassan,1958-02-27,02-27,F,sen,2017-01-03,2023-01-03,NH,3.0,,Democrat,,Pisces,58.0,58.0,64.0,64.0,2191.0,6.0,0.0
Catherine  Cortez Masto,1964-03-29,03-29,F,sen,2017-01-03,2023-01-03,NV,3.0,,Democrat,,Aries,52.0,52.0,58.0,58.0,2191.0,6.0,0.0
Bradley 'Brad' Scott Schneider,1961-08-20,08-20,M,rep,2013-01-03,2015-01-03,IL,,10.0,Democrat,,Leo,51.0,51.0,53.0,53.0,730.0,2.0,0.0
Andy  Biggs,1958-11-07,11-07,M,rep,2017-01-03,2019-01-03,AZ,,5.0,Republican,,Scorpio,58.0,58.0,60.0,60.0,730.0,2.0,0.0
Ro  Khanna,1976-09-13,09-13,M,rep,2017-01-03,2019-01-03,CA,,17.0,Democrat,,Virgo,40.0,40.0,42.0,42.0,730.0,2.0,0.0
Jimmy  Panetta,1969-10-01,10-01,M,rep,2017-01-03,2019-01-03,CA,,20.0,Democrat,,Libra,47.0,47.0,49.0,49.0,730.0,2.0,0.0
Salud O. Carbajal,1964-11-18,11-18,M,rep,2017-01-03,2019-01-03,CA,,24.0,Democrat,,Scorpio,52.0,52.0,54.0,54.0,730.0,2.0,0.0
Nanette Diaz Barragán,1976-09-15,09-15,F,rep,2017-01-03,2019-01-03,CA,,44.0,Democrat,,Virgo,40.0,40.0,42.0,42.0,730.0,2.0,0.0
J. Luis Correa,1958-01-24,01-24,M,rep,2017-01-03,2019-01-03,CA,,46.0,Democrat,,Aquarius,58.0,58.0,60.0,60.0,730.0,2.0,0.0
Lisa  Blunt Rochester,1962-02-10,02-10,F,rep,2017-01-03,2019-01-03,DE,,0.0,Democrat,,Aquarius,54.0,54.0,56.0,56.0,730.0,2.0,0.0
Neal P. Dunn,1953-02-16,02-16,M,rep,2017-01-03,2019-01-03,FL,,2.0,Republican,,Aquarius,63.0,63.0,65.0,65.0,730.0,2.0,0.0
John H. Rutherford,1952-09-02,09-02,M,rep,2017-01-03,2019-01-03,FL,,4.0,Republican,,Virgo,64.0,64.0,66.0,66.0,730.0,2.0,0.0
Darren  Soto,1978-02-25,02-25,M,rep,2017-01-03,2019-01-03,FL,,9.0,Democrat,,Pisces,38.0,38.0,40.0,40.0,730.0,2.0,0.0
Brian J. Mast,1980-07-10,07-10,M,rep,2017-01-03,2019-01-03,FL,,18.0,Republican,,Cancer,36.0,36.0,38.0,38.0,730.0,2.0,0.0
Raja  Krishnamoorthi,1973-07-19,07-19,M,rep,2017-01-03,2019-01-03,IL,,8.0,Democrat,,Cancer,43.0,43.0,45.0,45.0,730.0,2.0,0.0
Jim  Banks,1979-07-16,07-16,M,rep,2017-01-03,2019-01-03,IN,,3.0,Republican,,Cancer,37.0,37.0,39.0,39.0,730.0,2.0,0.0
Roger  Marshall,1960-08-09,08-09,M,rep,2017-01-03,2019-01-03,KS,,1.0,Republican,,Leo,56.0,56.0,58.0,58.0,730.0,2.0,0.0
Clay  Higgins,1961-08-24,08-24,M,rep,2017-01-03,2019-01-03,LA,,3.0,Republican,,Virgo,55.0,55.0,57.0,57.0,730.0,2.0,0.0
Mike  Johnson,1972-01-30,01-30,M,rep,2017-01-03,2019-01-03,LA,,4.0,Republican,,Aquarius,44.0,44.0,46.0,46.0,730.0,2.0,0.0
Jamie  Raskin,1962-12-13,12-13,M,rep,2017-01-03,2019-01-03,MD,,8.0,Democrat,,Sagittarius,54.0,54.0,56.0,56.0,730.0,2.0,0.0
Jack  Bergman,1947-02-02,02-02,M,rep,2017-01-03,2019-01-03,MI,,1.0,Republican,,Aquarius,69.0,69.0,71.0,71.0,730.0,2.0,0.0
Ted  Budd,1971-10-21,10-21,M,rep,2017-01-03,2019-01-03,NC,,13.0,Republican,,Libra,45.0,45.0,47.0,47.0,730.0,2.0,0.0
Don  Bacon,1963-08-16,08-16,M,rep,2017-01-03,2019-01-03,NE,,2.0,Republican,,Leo,53.0,53.0,55.0,55.0,730.0,2.0,0.0
Josh  Gottheimer,1975-03-08,03-08,M,rep,2017-01-03,2019-01-03,NJ,,5.0,Democrat,,Pisces,41.0,41.0,43.0,43.0,730.0,2.0,0.0
Jacky  Rosen,1957-08-02,08-02,F,rep,2017-01-03,2019-01-03,NV,,3.0,Democrat,,Leo,59.0,59.0,61.0,61.0,730.0,2.0,0.0
Adriano  Espaillat,1954-09-27,09-27,M,rep,2017-01-03,2019-01-03,NY,,13.0,Democrat,,Libra,62.0,62.0,64.0,64.0,730.0,2.0,0.0
Brian K. Fitzpatrick,1973-12-17,12-17,M,rep,2017-01-03,2019-01-03,PA,,8.0,Republican,,Sagittarius,43.0,43.0,45.0,45.0,730.0,2.0,0.0
Lloyd  Smucker,1964-01-23,01-23,M,rep,2017-01-03,2019-01-03,PA,,16.0,Republican,,Aquarius,52.0,52.0,54.0,54.0,730.0,2.0,0.0
David  Kustoff,1966-10-08,10-08,M,rep,2017-01-03,2019-01-03,TN,,8.0,Republican,,Libra,50.0,50.0,52.0,52.0,730.0,2.0,0.0
Vicente  Gonzalez,1967-09-04,09-04,M,rep,2017-01-03,2019-01-03,TX,,15.0,Democrat,,Virgo,49.0,49.0,51.0,51.0,730.0,2.0,0.0
Jodey C. Arrington,1972-03-09,03-09,M,rep,2017-01-03,2019-01-03,TX,,19.0,Republican,,Pisces,44.0,44.0,46.0,46.0,730.0,2.0,0.0
Pramila  Jayapal,1965-09-21,09-21,F,rep,2017-01-03,2019-01-03,WA,,7.0,Democrat,,Virgo,51.0,51.0,53.0,53.0,730.0,2.0,0.0
Ron  Estes,1956-07-19,07-19,M,rep,2017-04-25,2019-01-03,KS,,4.0,Republican,,Cancer,60.0,60.0,62.0,62.0,618.0,1.0,8.0
Ralph  Norman,1953-06-20,06-20,M,rep,2017-06-26,2019-01-03,SC,,5.0,Republican,,Gemini,64.0,64.0,65.0,65.0,556.0,1.0,6.0
Jimmy  Gomez,1974-11-25,11-25,M,rep,2017-07-11,2019-01-03,CA,,34.0,Democrat,,Sagittarius,42.0,42.0,44.0,44.0,541.0,1.0,5.0
John R. Curtis,1960-05-10,05-10,M,rep,2017-11-13,2019-01-03,UT,,3.0,Republican,,Taurus,57.0,57.0,58.0,58.0,416.0,1.0,1.0
Tina Flint Smith,1958-03-04,03-04,F,sen,2018-01-03,2018-11-06,MN,2.0,,Democrat,appointment,Pisces,59.0,59.0,60.0,60.0,307.0,0.0,10.0
Cindy  Hyde-Smith,1959-05-10,05-10,F,sen,2018-04-09,2018-11-27,MS,2.0,,Republican,appointment,Taurus,58.0,58.0,59.0,59.0,232.0,0.0,7.0
Michael  Cloud,1975-05-13,05-13,M,rep,2018-07-10,2019-01-03,TX,,27.0,Republican,,Taurus,43.0,43.0,43.0,43.0,177.0,0.0,5.0
Troy  Balderson,1962-01-16,01-16,M,rep,2018-09-05,2019-01-03,OH,,12.0,Republican,,Capricorn,56.0,56.0,57.0,57.0,120.0,0.0,4.0
Kevin R. Hern,1961-12-04,12-04,M,rep,2018-11-13,2019-01-03,OK,,1.0,Republican,,Sagittarius,56.0,56.0,57.0,57.0,51.0,0.0,1.0
Joseph D. Morelle,1957-04-29,04-29,M,rep,2018-11-13,2019-01-03,NY,,25.0,Democrat,,Taurus,61.0,61.0,61.0,61.0,51.0,0.0,1.0
Mary Gay Scanlon,1959-08-30,08-30,F,rep,2018-11-13,2019-01-03,PA,,7.0,Democrat,,Virgo,59.0,59.0,59.0,59.0,51.0,0.0,1.0
Ed  Case,1952-09-27,09-27,M,rep,2003-01-07,2005-01-03,HI,,2.0,Democrat,,Libra,50.0,50.0,52.0,52.0,727.0,1.0,12.0
Steven A. Horsford,1973-04-29,04-29,M,rep,2013-01-03,2015-01-03,NV,,4.0,Democrat,,Taurus,39.0,39.0,41.0,41.0,730.0,2.0,0.0
Greg  Stanton,1970-03-08,03-08,M,rep,2019-01-03,2021-01-03,AZ,,9.0,Democrat,,Pisces,48.0,48.0,50.0,50.0,731.0,2.0,0.0
Josh  Harder,1986-08-01,08-01,M,rep,2019-01-03,2021-01-03,CA,,10.0,Democrat,,Leo,32.0,32.0,34.0,34.0,731.0,2.0,0.0
Mike  Levin,1978-10-28,10-28,M,rep,2019-01-03,2021-01-03,CA,,49.0,Democrat,,Scorpio,40.0,40.0,42.0,42.0,731.0,2.0,0.0
Joe  Neguse,1984-05-13,05-13,M,rep,2019-01-03,2021-01-03,CO,,2.0,Democrat,,Taurus,34.0,34.0,36.0,36.0,731.0,2.0,0.0
Jason  Crow,1979-03-15,03-15,M,rep,2019-01-03,2021-01-03,CO,,6.0,Democrat,,Pisces,39.0,39.0,41.0,41.0,731.0,2.0,0.0
Jahana  Hayes,1973-03-08,03-08,F,rep,2019-01-03,2021-01-03,CT,,5.0,Democrat,,Pisces,45.0,45.0,47.0,47.0,731.0,2.0,0.0
W. Gregory Steube,1978-05-19,05-19,M,rep,2019-01-03,2021-01-03,FL,,17.0,Republican,,Taurus,40.0,40.0,42.0,42.0,731.0,2.0,0.0
Lucy  McBath,1960-06-01,06-01,F,rep,2019-01-03,2021-01-03,GA,,6.0,Democrat,,Gemini,58.0,58.0,60.0,60.0,731.0,2.0,0.0
Russ  Fulcher,1973-07-19,07-19,M,rep,2019-01-03,2021-01-03,ID,,1.0,Republican,,Cancer,45.0,45.0,47.0,47.0,731.0,2.0,0.0
Jesús 'Chuy' G. García,1956-04-12,04-12,M,rep,2019-01-03,2021-01-03,IL,,4.0,Democrat,,Aries,62.0,62.0,64.0,64.0,731.0,2.0,0.0
Sean  Casten,1971-11-23,11-23,M,rep,2019-01-03,2021-01-03,IL,,6.0,Democrat,,Sagittarius,47.0,47.0,49.0,49.0,731.0,2.0,0.0
Lauren  Underwood,1986-10-04,10-04,F,rep,2019-01-03,2021-01-03,IL,,14.0,Democrat,,Libra,32.0,32.0,34.0,34.0,731.0,2.0,0.0
James R. Baird,1945-06-04,06-04,M,rep,2019-01-03,2021-01-03,IN,,4.0,Republican,,Gemini,73.0,73.0,75.0,75.0,731.0,2.0,0.0
Sharice  Davids,1980-05-22,05-22,F,rep,2019-01-03,2021-01-03,KS,,3.0,Democrat,,Gemini,38.0,38.0,40.0,40.0,731.0,2.0,0.0
Lori  Trahan,1973-10-27,10-27,F,rep,2019-01-03,2021-01-03,MA,,3.0,Democrat,,Scorpio,45.0,45.0,47.0,47.0,731.0,2.0,0.0
Ayanna  Pressley,1974-02-03,02-03,F,rep,2019-01-03,2021-01-03,MA,,7.0,Democrat,,Aquarius,44.0,44.0,46.0,46.0,731.0,2.0,0.0
Elissa  Slotkin,1976-07-10,07-10,F,rep,2019-01-03,2021-01-03,MI,,8.0,Democrat,,Cancer,42.0,42.0,44.0,44.0,731.0,2.0,0.0
Haley M. Stevens,1983-06-24,06-24,F,rep,2019-01-03,2021-01-03,MI,,11.0,Democrat,,Cancer,35.0,35.0,37.0,37.0,731.0,2.0,0.0
Rashida  Tlaib,1976-07-24,07-24,F,rep,2019-01-03,2021-01-03,MI,,13.0,Democrat,,Leo,42.0,42.0,44.0,44.0,731.0,2.0,0.0
Angie  Craig,1972-02-14,02-14,F,rep,2019-01-03,2021-01-03,MN,,2.0,Democrat,,Aquarius,46.0,46.0,48.0,48.0,731.0,2.0,0.0
Ilhan  Omar,1981-10-04,10-04,F,rep,2019-01-03,2021-01-03,MN,,5.0,Democrat,,Libra,37.0,37.0,39.0,39.0,731.0,2.0,0.0
Pete  Stauber,1966-05-10,05-10,M,rep,2019-01-03,2021-01-03,MN,,8.0,Republican,,Taurus,52.0,52.0,54.0,54.0,731.0,2.0,0.0
Michael  Guest,1970-02-04,02-04,M,rep,2019-01-03,2021-01-03,MS,,3.0,Republican,,Aquarius,48.0,48.0,50.0,50.0,731.0,2.0,0.0
Chris  Pappas,1980-06-04,06-04,M,rep,2019-01-03,2021-01-03,NH,,1.0,Democrat,,Gemini,38.0,38.0,40.0,40.0,731.0,2.0,0.0
Jefferson  Van Drew,1953-02-23,02-23,M,rep,2019-01-03,2021-01-03,NJ,,2.0,Republican,,Pisces,65.0,65.0,67.0,67.0,731.0,2.0,0.0
Andy  Kim,1982-07-12,07-12,M,rep,2019-01-03,2021-01-03,NJ,,3.0,Democrat,,Cancer,36.0,36.0,38.0,38.0,731.0,2.0,0.0
Mikie  Sherrill,1972-01-19,01-19,F,rep,2019-01-03,2021-01-03,NJ,,11.0,Democrat,,Capricorn,46.0,46.0,48.0,48.0,731.0,2.0,0.0
Susie  Lee,1966-11-07,11-07,F,rep,2019-01-03,2021-01-03,NV,,3.0,Democrat,,Scorpio,52.0,52.0,54.0,54.0,731.0,2.0,0.0
Alexandria  Ocasio-Cortez,1989-10-13,10-13,F,rep,2019-01-03,2021-01-03,NY,,14.0,Democrat,,Libra,29.0,29.0,31.0,31.0,731.0,2.0,0.0
Madeleine  Dean,1959-06-06,06-06,F,rep,2019-01-03,2021-01-03,PA,,4.0,Democrat,,Gemini,59.0,59.0,61.0,61.0,731.0,2.0,0.0
Chrissy  Houlahan,1967-06-05,06-05,F,rep,2019-01-03,2021-01-03,PA,,6.0,Democrat,,Gemini,51.0,51.0,53.0,53.0,731.0,2.0,0.0
Daniel  Meuser,1964-02-10,02-10,M,rep,2019-01-03,2021-01-03,PA,,9.0,Republican,,Aquarius,54.0,54.0,56.0,56.0,731.0,2.0,0.0
John  Joyce,1957-02-08,02-08,M,rep,2019-01-03,2021-01-03,PA,,13.0,Republican,,Aquarius,61.0,61.0,63.0,63.0,731.0,2.0,0.0
Guy  Reschenthaler,1983-04-17,04-17,M,rep,2019-01-03,2021-01-03,PA,,14.0,Republican,,Aries,35.0,35.0,37.0,37.0,731.0,2.0,0.0
William R. Timmons,1984-04-30,04-30,M,rep,2019-01-03,2021-01-03,SC,,4.0,Republican,,Taurus,34.0,34.0,36.0,36.0,731.0,2.0,0.0
Dusty  Johnson,1976-09-30,09-30,M,rep,2019-01-03,2021-01-03,SD,,0.0,Republican,,Libra,42.0,42.0,44.0,44.0,731.0,2.0,0.0
Tim  Burchett,1964-08-25,08-25,M,rep,2019-01-03,2021-01-03,TN,,2.0,Republican,,Virgo,54.0,54.0,56.0,56.0,731.0,2.0,0.0
John W. Rose,1965-02-23,02-23,M,rep,2019-01-03,2021-01-03,TN,,6.0,Republican,,Pisces,53.0,53.0,55.0,55.0,731.0,2.0,0.0
Mark E. Green,1964-11-08,11-08,M,rep,2019-01-03,2021-01-03,TN,,7.0,Republican,,Scorpio,54.0,54.0,56.0,56.0,731.0,2.0,0.0
Dan  Crenshaw,1984-03-14,03-14,M,rep,2019-01-03,2021-01-03,TX,,2.0,Republican,,Pisces,34.0,34.0,36.0,36.0,731.0,2.0,0.0
Lance  Gooden,1982-12-01,12-01,M,rep,2019-01-03,2021-01-03,TX,,5.0,Republican,,Sagittarius,36.0,36.0,38.0,38.0,731.0,2.0,0.0
Lizzie  Fletcher,1975-02-13,02-13,F,rep,2019-01-03,2021-01-03,TX,,7.0,Democrat,,Aquarius,43.0,43.0,45.0,45.0,731.0,2.0,0.0
Veronica  Escobar,1969-09-15,09-15,F,rep,2019-01-03,2021-01-03,TX,,16.0,Democrat,,Virgo,49.0,49.0,51.0,51.0,731.0,2.0,0.0
Chip  Roy,1972-08-07,08-07,M,rep,2019-01-03,2021-01-03,TX,,21.0,Republican,,Leo,46.0,46.0,48.0,48.0,731.0,2.0,0.0
Sylvia R. Garcia,1950-09-06,09-06,F,rep,2019-01-03,2021-01-03,TX,,29.0,Democrat,,Virgo,68.0,68.0,70.0,70.0,731.0,2.0,0.0
Ben  Cline,1972-02-29,02-29,M,rep,2019-01-03,2021-01-03,VA,,6.0,Republican,,Pisces,46.0,46.0,48.0,48.0,731.0,2.0,0.0
Kim  Schrier,1968-08-23,08-23,F,rep,2019-01-03,2021-01-03,WA,,8.0,Democrat,,Virgo,50.0,50.0,52.0,52.0,731.0,2.0,0.0
Bryan  Steil,1981-03-30,03-30,M,rep,2019-01-03,2021-01-03,WI,,1.0,Republican,,Aries,37.0,37.0,39.0,39.0,731.0,2.0,0.0
Carol D. Miller,1950-11-04,11-04,F,rep,2019-01-03,2021-01-03,WV,,3.0,Republican,,Scorpio,68.0,68.0,70.0,70.0,731.0,2.0,0.0
Rick  Scott,1952-12-01,12-01,M,sen,2019-01-08,2025-01-03,FL,1.0,,Republican,,Sagittarius,66.0,66.0,72.0,72.0,2187.0,5.0,12.0
Joshua 'Josh'  Hawley,1979-12-31,12-31,M,sen,2019-01-03,2025-01-03,MO,1.0,,Republican,,Capricorn,39.0,39.0,45.0,45.0,2192.0,6.0,0.0
